Commander,Average CMC,% Creatures,% Non-creature/lands,Commander value ($),Most valuable card ($),TCGPlayer deck price ($),% won/played
"Alesha, Who Smiles at Death",3.16,0.25,0.4,0.24,12,192,
"Gonti, Lord of Luxury",3.56,0.19,0.45,0.52,23,214,
"Chainer, Dementia Master (Jia)",3.56,0.24,0.4,2.5,23,189,
"Hapatra, Vizier of Poisons",3.17,0.22,0.44,0.42,12,174,
"Rashmi, Eternities Crafter",3.21,0.19,0.48,0.71,13,146,
"Breya, Etherium Shaper",3.41,0.2,0.43,5.5,41,440,
"Chainer, Dementia Master (Chr)",3.82,0.18,0.44,2.5,32,370,
Brion Stoutarm,3.63,0.24,0.39,0.78,20,318,
"Freyalise, Llanowar's Fury",3.87,0.31,0.32,9,26,284,
"Yidris, Maelstrom Wielder",N/A,N/A,N/A,N/A,N/A,N/A,
"Uril, the Miststalker",3.05,0.17,0.45,6,15,145,
"Mogis, God of Slaughter",3.85,0.21,0.45,5.5,6.5,106,
Ghoulcaller Gisa,3.25,0.28,0.45,16,23,256,
